WARNING:root:Automatically setting rho to 0.206
INFO:root:Iteration 367, violation 2.624
INFO:root:Iteration 368, violation 2.585
INFO:root:Iteration 369, violation 2.538
INFO:root:Iteration 370, violation 2.484
INFO:root:Iteration 371, violation 2.422
INFO:root:Iteration 372, violation 2.354
INFO:root:Iteration 373, violation 2.278
INFO:root:Iteration 374, violation 2.196
INFO:root:Iteration 375, violation 2.216
INFO:root:Iteration 376, violation 2.294
INFO:root:Iteration 377, violation 2.364
INFO:root:Iteration 378, violation 2.426
INFO:root:Iteration 379, violation 2.480
INFO:root:Iteration 380, violation 2.527
INFO:root:Iteration 381, violation 2.567
INFO:root:Iteration 382, violation 2.599
INFO:root:Iteration 383, violation 2.624
INFO:root:Iteration 384, violation 2.643
INFO:root:Iteration 385, violation 2.655
INFO:root:Iteration 386, violation 2.660
INFO:root:Iteration 387, violation 2.659
INFO:root:Iteration 388, violation 2.653
INFO:root:Iteration 389, violation 2.641
INFO:root:Iteration 390, violation 2.624
INFO:root:Iteration 391, violation 2.603
INFO:root:Iteration 392, violation 2.578
INFO:root:Iteration 393, violation 2.548
INFO:root:Iteration 394, violation 2.516
INFO:root:Iteration 395, violation 2.480
INFO:root:Iteration 396, violation 2.516
INFO:root:Iteration 397, violation 2.616
INFO:root:Iteration 398, violation 2.714
INFO:root:Iteration 399, violation 2.808
INFO:root:Iteration 400, violation 2.899
INFO:root:Iteration 401, violation 2.986
INFO:root:Iteration 402, violation 3.068
INFO:root:Iteration 403, violation 3.145
INFO:root:Iteration 404, violation 3.217
INFO:root:Iteration 405, violation 3.284
INFO:root:Iteration 406, violation 3.345
INFO:root:Iteration 407, violation 3.400
INFO:root:Iteration 408, violation 3.448
INFO:root:Iteration 409, violation 3.491
INFO:root:Iteration 410, violation 3.526
INFO:root:Iteration 411, violation 3.555
INFO:root:Iteration 412, violation 3.577
INFO:root:Iteration 413, violation 3.593
INFO:root:Iteration 414, violation 3.601
INFO:root:Iteration 415, violation 3.603
INFO:root:Iteration 416, violation 3.598
INFO:root:Iteration 417, violation 3.586
INFO:root:Iteration 418, violation 3.567
INFO:root:Iteration 419, violation 3.543
INFO:root:Iteration 420, violation 3.511
INFO:root:Iteration 421, violation 3.474
INFO:root:Iteration 422, violation 3.431
INFO:root:Iteration 423, violation 3.382
INFO:root:Iteration 424, violation 3.328
INFO:root:Iteration 425, violation 3.268
INFO:root:Iteration 426, violation 3.204
INFO:root:Iteration 427, violation 3.136
INFO:root:Iteration 428, violation 3.063
INFO:root:Iteration 429, violation 2.987
INFO:root:Iteration 430, violation 2.906
INFO:root:Iteration 431, violation 2.822
INFO:root:Iteration 432, violation 2.735
INFO:root:Iteration 433, violation 2.644
INFO:root:Iteration 434, violation 2.680
INFO:root:Iteration 435, violation 2.886
INFO:root:Iteration 436, violation 3.049
INFO:root:Iteration 437, violation 3.405
INFO:root:Iteration 438, violation 3.512
INFO:root:Iteration 439, violation 3.618
INFO:root:Iteration 440, violation 3.685
INFO:root:Iteration 441, violation 3.712
INFO:root:Iteration 442, violation 3.703
INFO:root:Iteration 443, violation 3.885
INFO:root:Iteration 444, violation 3.850
INFO:root:Iteration 445, violation 3.816
INFO:root:Iteration 446, violation 3.751
INFO:root:Iteration 447, violation 3.658
INFO:root:Iteration 448, violation 3.536
INFO:root:Iteration 449, violation 3.620
INFO:root:Iteration 450, violation 3.494
INFO:root:Iteration 451, violation 3.379
INFO:root:Iteration 452, violation 3.243
INFO:root:Iteration 453, violation 3.085
INFO:root:Iteration 454, violation 2.907
INFO:root:Iteration 455, violation 2.711
INFO:root:Iteration 456, violation 2.746
INFO:root:Iteration 457, violation 2.557
INFO:root:Iteration 458, violation 2.475
INFO:root:Iteration 459, violation 2.476
INFO:root:Iteration 460, violation 2.470
INFO:root:Iteration 461, violation 2.458
INFO:root:Iteration 462, violation 2.439
INFO:root:Iteration 463, violation 2.414
INFO:root:Iteration 464, violation 2.412
INFO:root:Iteration 465, violation 2.455
INFO:root:Iteration 466, violation 2.492
INFO:root:Iteration 467, violation 2.523
INFO:root:Iteration 468, violation 2.546
INFO:root:Iteration 469, violation 2.562
INFO:root:Iteration 470, violation 2.571
INFO:root:Iteration 471, violation 2.573
INFO:root:Iteration 472, violation 2.568
INFO:root:Iteration 473, violation 2.555
INFO:root:Iteration 474, violation 2.535
INFO:root:Iteration 475, violation 2.507
INFO:root:Iteration 476, violation 2.473
INFO:root:Iteration 477, violation 2.431
INFO:root:Iteration 478, violation 2.382
INFO:root:Iteration 479, violation 2.327
INFO:root:Iteration 480, violation 2.265
INFO:root:Iteration 481, violation 2.213
INFO:root:Iteration 482, violation 2.163
INFO:root:Iteration 483, violation 2.108
INFO:root:Iteration 484, violation 2.048
INFO:root:Iteration 485, violation 1.983
INFO:root:Iteration 486, violation 1.914
INFO:root:Iteration 487, violation 1.971
INFO:root:Iteration 488, violation 2.038
INFO:root:Iteration 489, violation 2.100
INFO:root:Iteration 490, violation 2.157
INFO:root:Iteration 491, violation 2.209
INFO:root:Iteration 492, violation 2.256
INFO:root:Iteration 493, violation 2.297
INFO:root:Iteration 494, violation 2.333
INFO:root:Iteration 495, violation 2.364
INFO:root:Iteration 496, violation 2.390
INFO:root:Iteration 497, violation 2.411
INFO:root:Iteration 498, violation 2.427
INFO:root:Iteration 499, violation 2.495
INFO:root:Iteration 500, violation 2.591
INFO:root:Iteration 501, violation 2.685
INFO:root:Iteration 502, violation 2.778
INFO:root:Iteration 503, violation 2.868
INFO:root:Iteration 504, violation 2.956
INFO:root:Iteration 505, violation 3.041
INFO:root:Iteration 506, violation 3.123
INFO:root:Iteration 507, violation 3.201
INFO:root:Iteration 508, violation 3.275
INFO:root:Iteration 509, violation 3.344
INFO:root:Iteration 510, violation 3.409
INFO:root:Iteration 511, violation 3.469
INFO:root:Iteration 512, violation 3.524
INFO:root:Iteration 513, violation 3.572
INFO:root:Iteration 514, violation 3.616
INFO:root:Iteration 515, violation 3.653
INFO:root:Iteration 516, violation 3.683
INFO:root:Iteration 517, violation 3.707
INFO:root:Iteration 518, violation 3.725
INFO:root:Iteration 519, violation 3.736
INFO:root:Iteration 520, violation 3.739
INFO:root:Iteration 521, violation 3.736
INFO:root:Iteration 522, violation 3.726
INFO:root:Iteration 523, violation 3.708
INFO:root:Iteration 524, violation 3.684
INFO:root:Iteration 525, violation 3.653
INFO:root:Iteration 526, violation 3.614
INFO:root:Iteration 527, violation 3.569
INFO:root:Iteration 528, violation 3.518
INFO:root:Iteration 529, violation 3.459
INFO:root:Iteration 530, violation 3.395
INFO:root:Iteration 531, violation 3.324
INFO:root:Iteration 532, violation 3.247
INFO:root:Iteration 533, violation 3.165
INFO:root:Iteration 534, violation 3.077
INFO:root:Iteration 535, violation 2.985
INFO:root:Iteration 536, violation 2.887
INFO:root:Iteration 537, violation 2.785
INFO:root:Iteration 538, violation 2.703
INFO:root:Iteration 539, violation 2.691
INFO:root:Iteration 540, violation 2.675
INFO:root:Iteration 541, violation 2.655
INFO:root:Iteration 542, violation 2.630
INFO:root:Iteration 543, violation 2.601
INFO:root:Iteration 544, violation 2.568
INFO:root:Iteration 545, violation 2.531
INFO:root:Iteration 546, violation 2.490
INFO:root:Iteration 547, violation 2.445
INFO:root:Iteration 548, violation 2.396
INFO:root:Iteration 549, violation 2.344
INFO:root:Iteration 550, violation 2.288
