WARNING:root:Automatically setting rho to 0.246
INFO:root:Starting ADMM phase 1 with tol 0.010
INFO:root:Starting ADMM phase 2 with rho 0.246
INFO:root:Iteration 249, violation 23.068
INFO:root:Iteration 250, violation 22.823
INFO:root:Iteration 251, violation 22.596
INFO:root:Iteration 252, violation 22.388
INFO:root:Iteration 253, violation 22.197
INFO:root:Iteration 254, violation 22.024
INFO:root:Iteration 255, violation 21.867
INFO:root:Iteration 256, violation 21.726
INFO:root:Iteration 257, violation 21.599
INFO:root:Iteration 258, violation 21.485
INFO:root:Iteration 259, violation 21.382
INFO:root:Iteration 260, violation 21.289
INFO:root:Iteration 261, violation 21.205
INFO:root:Iteration 262, violation 21.128
INFO:root:Iteration 263, violation 21.056
INFO:root:Iteration 264, violation 20.987
INFO:root:Iteration 265, violation 20.920
INFO:root:Iteration 266, violation 20.853
INFO:root:Iteration 267, violation 20.784
INFO:root:Iteration 268, violation 20.711
INFO:root:Iteration 269, violation 20.633
INFO:root:Iteration 270, violation 20.549
INFO:root:Iteration 271, violation 20.456
INFO:root:Iteration 272, violation 20.354
INFO:root:Iteration 273, violation 20.241
INFO:root:Iteration 274, violation 20.116
INFO:root:Iteration 275, violation 19.978
INFO:root:Iteration 276, violation 19.827
INFO:root:Iteration 277, violation 19.926
INFO:root:Iteration 278, violation 20.028
INFO:root:Iteration 279, violation 20.125
INFO:root:Iteration 280, violation 20.216
INFO:root:Iteration 281, violation 20.299
INFO:root:Iteration 282, violation 20.376
INFO:root:Iteration 283, violation 20.444
INFO:root:Iteration 284, violation 20.503
INFO:root:Iteration 285, violation 20.553
INFO:root:Iteration 286, violation 20.593
INFO:root:Iteration 287, violation 20.622
INFO:root:Iteration 288, violation 20.640
INFO:root:Iteration 289, violation 20.647
INFO:root:Iteration 290, violation 20.642
INFO:root:Iteration 291, violation 20.624
INFO:root:Iteration 292, violation 20.594
INFO:root:Iteration 293, violation 20.551
INFO:root:Iteration 294, violation 20.494
INFO:root:Iteration 295, violation 20.424
INFO:root:Iteration 296, violation 20.341
INFO:root:Iteration 297, violation 20.244
INFO:root:Iteration 298, violation 20.133
INFO:root:Iteration 299, violation 20.008
INFO:root:Iteration 300, violation 19.870
INFO:root:Iteration 301, violation 19.719
INFO:root:Iteration 302, violation 19.554
INFO:root:Iteration 303, violation 19.375
INFO:root:Iteration 304, violation 19.184
INFO:root:Iteration 305, violation 18.981
INFO:root:Iteration 306, violation 18.765
INFO:root:Iteration 307, violation 18.537
INFO:root:Iteration 308, violation 18.298
INFO:root:Iteration 309, violation 18.048
INFO:root:Iteration 310, violation 17.788
INFO:root:Iteration 311, violation 17.518
INFO:root:Iteration 312, violation 17.239
INFO:root:Iteration 313, violation 16.951
INFO:root:Iteration 314, violation 16.655
INFO:root:Iteration 315, violation 16.352
INFO:root:Iteration 316, violation 16.043
INFO:root:Iteration 317, violation 15.727
INFO:root:Iteration 318, violation 15.407
INFO:root:Iteration 319, violation 15.115
INFO:root:Iteration 320, violation 14.881
INFO:root:Iteration 321, violation 14.643
INFO:root:Iteration 322, violation 14.403
INFO:root:Iteration 323, violation 14.159
INFO:root:Iteration 324, violation 13.914
INFO:root:Iteration 325, violation 13.668
INFO:root:Iteration 326, violation 13.420
INFO:root:Iteration 327, violation 13.173
INFO:root:Iteration 328, violation 13.037
INFO:root:Iteration 329, violation 12.921
INFO:root:Iteration 330, violation 12.795
INFO:root:Iteration 331, violation 12.658
INFO:root:Iteration 332, violation 12.512
INFO:root:Iteration 333, violation 12.357
INFO:root:Iteration 334, violation 12.195
INFO:root:Iteration 335, violation 12.026
INFO:root:Iteration 336, violation 11.853
INFO:root:Iteration 337, violation 11.675
INFO:root:Iteration 338, violation 11.494
INFO:root:Iteration 339, violation 11.312
INFO:root:Iteration 340, violation 11.129
INFO:root:Iteration 341, violation 11.079
INFO:root:Iteration 342, violation 11.265
INFO:root:Iteration 343, violation 11.454
INFO:root:Iteration 344, violation 11.644
INFO:root:Iteration 345, violation 11.835
INFO:root:Iteration 346, violation 12.026
INFO:root:Iteration 347, violation 12.216
INFO:root:Iteration 348, violation 12.404
INFO:root:Iteration 349, violation 12.590
INFO:root:Iteration 350, violation 12.773
INFO:root:Iteration 351, violation 12.952
INFO:root:Iteration 352, violation 13.126
